severity,experiment,anomaly_type,identifier,previous_identifier,next_identifier,metrics_json,context_note
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l4|training|131|51001||0|,,autonomy|oracle_upper_bound|opaque_dependency_l4|training|131|51002||1|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""1""}",All 60000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l4|evaluation_seen|131|61001||0|,autonomy|oracle_upper_bound|opaque_dependency_l4|training|131|51008||1999|,autonomy|oracle_upper_bound|opaque_dependency_l4|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71001||0|,autonomy|oracle_upper_bound|opaque_dependency_l4|evaluation_seen|131|61004||199|,autonomy|oracle_upper_bound|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l4|evaluation_seen|131|61001||0|,autonomy|q_learning|opaque_dependency_l4|training|131|51008||1999|,autonomy|q_learning|opaque_dependency_l4|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71001||0|,autonomy|q_learning|opaque_dependency_l4|evaluation_seen|131|61004||199|,autonomy|q_learning|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l6|training|131|51001||0|,autonomy|q_learning|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71008||199|,autonomy|oracle_upper_bound|opaque_dependency_l6|training|131|51002||1|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""1""}",All 60000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|oracle_upper_bound|opaque_dependency_l6|training|131|51008||1999|,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l8|training|131|51001||0|,autonomy|oracle_upper_bound|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71008||199|,autonomy|oracle_upper_bound|opaque_dependency_l8|training|131|51002||1|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""1""}",All 60000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|oracle_upper_bound|opaque_dependency_l8|training|131|51008||1999|,autonomy|oracle_upper_bound|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|oracle_upper_bound|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|oracle_upper_bound|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|oracle_upper_bound|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""1""}",All 6000 rows in this group have success=1.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|q_learning|opaque_dependency_l6|training|131|51008||1999|,autonomy|q_learning|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|q_learning|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|q_learning|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|q_learning|opaque_dependency_l8|training|131|51008||1999|,autonomy|q_learning|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|q_learning|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|q_learning|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|q_learning|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l4|evaluation_seen|131|61001||0|,autonomy|contextual_policy|opaque_dependency_l4|training|131|51008||1999|,autonomy|contextual_policy|opaque_dependency_l4|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71001||0|,autonomy|contextual_policy|opaque_dependency_l4|evaluation_seen|131|61004||199|,autonomy|contextual_policy|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|contextual_policy|opaque_dependency_l6|training|131|51008||1999|,autonomy|contextual_policy|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|contextual_policy|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|contextual_policy|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l4|evaluation_seen|131|61001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||1999|,autonomy|prophecy_no_imagination|opaque_dependency_l4|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l4|evaluation_seen|131|61004||199|,autonomy|prophecy_no_imagination|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|contextual_policy|opaque_dependency_l8|training|131|51008||1999|,autonomy|contextual_policy|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|contextual_policy|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|contextual_policy|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|contextual_policy|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l6|training|131|51008||1999|,autonomy|prophecy_no_imagination|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|prophecy_no_imagination|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l4|evaluation_seen|131|61001||0|,autonomy|full_aassr|opaque_dependency_l4|training|131|51008||1999|,autonomy|full_aassr|opaque_dependency_l4|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71001||0|,autonomy|full_aassr|opaque_dependency_l4|evaluation_seen|131|61004||199|,autonomy|full_aassr|opaque_dependency_l4|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l8|training|131|51008||1999|,autonomy|prophecy_no_imagination|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|prophecy_no_imagination|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|prophecy_no_imagination|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|prophecy_no_imagination|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|full_aassr|opaque_dependency_l6|training|131|51008||1999|,autonomy|full_aassr|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|full_aassr|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|full_aassr|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|dqn|opaque_dependency_l6|evaluation_seen|131|61001||0|,autonomy|dqn|opaque_dependency_l6|training|131|51008||1999|,autonomy|dqn|opaque_dependency_l6|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|dqn|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71001||0|,autonomy|dqn|opaque_dependency_l6|evaluation_seen|131|61004||199|,autonomy|dqn|opaque_dependency_l6|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|full_aassr|opaque_dependency_l8|training|131|51008||1999|,autonomy|full_aassr|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|full_aassr|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|full_aassr|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|full_aassr|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": ""0.0"", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|dqn|opaque_dependency_l8|evaluation_seen|131|61001||0|,autonomy|dqn|opaque_dependency_l8|training|131|51008||1999|,autonomy|dqn|opaque_dependency_l8|evaluation_seen|131|61002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,autonomy,group_extreme_success_rate,autonomy|dqn|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71001||0|,autonomy|dqn|opaque_dependency_l8|evaluation_seen|131|61004||199|,autonomy|dqn|opaque_dependency_l8|evaluation_unseen_zero_shot|131|71002||1|,"{""errors"": ""0"", ""holdout_gain"": """", ""prediction_score"": """", ""real_transitions"": ""8"", ""repeats"": ""0"", ""steps"": ""8"", ""success"": ""0""}",All 6000 rows in this group have success=0.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52001||16|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52008||15|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52002||17|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52003||18|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52002||17|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52004||19|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52006||21|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52005||20|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52007||22|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52001||24|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52008||23|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52002||25|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52002||25|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52001||24|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52003||26|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52003||26|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52002||25|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52004||27|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52004||27|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52003||26|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52005||28|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52005||28|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52004||27|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52006||29|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52006||29|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52005||28|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52007||30|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,ablation,high_prediction_failed_episode,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52007||30|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52006||29|,ablation|prophecy_no_imagination|opaque_dependency_l6|training|131|52008||31|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""0.8333333333333334"", ""real_transitions"": ""6"", ""repeats"": ""0"", ""steps"": ""6"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
