condition,research_seed,phase,episode,world_seed,success,steps,failed_actions,block_moves,imagination_interventions
contextual_policy,9101,evaluation_train_world_frozen,17,76003,False,35,34,1,0
contextual_policy,9101,evaluation_train_world_frozen,18,76004,True,11,2,1,0
contextual_policy,9101,evaluation_train_world_frozen,19,76005,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,0,76001,False,35,35,0,0
full_aassr,9101,evaluation_train_world_frozen,1,76002,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,2,76003,False,35,34,1,0
full_aassr,9101,evaluation_train_world_frozen,3,76004,True,13,2,2,0
full_aassr,9101,evaluation_train_world_frozen,4,76005,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,5,76001,False,35,35,0,0
full_aassr,9101,evaluation_train_world_frozen,6,76002,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,7,76003,False,35,34,1,0
full_aassr,9101,evaluation_train_world_frozen,8,76004,True,13,2,2,0
full_aassr,9101,evaluation_train_world_frozen,9,76005,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,10,76001,False,35,35,0,0
full_aassr,9101,evaluation_train_world_frozen,11,76002,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,12,76003,False,35,34,1,0
full_aassr,9101,evaluation_train_world_frozen,13,76004,True,13,2,2,0
full_aassr,9101,evaluation_train_world_frozen,14,76005,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,15,76001,False,35,35,0,0
full_aassr,9101,evaluation_train_world_frozen,16,76002,False,35,34,0,0
full_aassr,9101,evaluation_train_world_frozen,17,76003,False,35,34,1,0
full_aassr,9101,evaluation_train_world_frozen,18,76004,True,13,2,2,0
full_aassr,9101,evaluation_train_world_frozen,19,76005,False,35,34,0,0
random,9103,evaluation_train_world_frozen,0,76001,False,35,14,2,0
random,9103,evaluation_train_world_frozen,1,76002,False,35,14,3,0
random,9103,evaluation_train_world_frozen,2,76003,False,35,12,2,0
random,9103,evaluation_train_world_frozen,3,76004,False,35,12,2,0
random,9103,evaluation_train_world_frozen,4,76005,False,35,11,2,0
random,9103,evaluation_train_world_frozen,5,76001,False,35,19,0,0
random,9103,evaluation_train_world_frozen,6,76002,False,35,15,1,0
random,9103,evaluation_train_world_frozen,7,76003,False,35,6,2,0
random,9103,evaluation_train_world_frozen,8,76004,False,35,14,0,0
random,9103,evaluation_train_world_frozen,9,76005,False,35,9,2,0
random,9103,evaluation_train_world_frozen,10,76001,False,35,15,2,0
random,9103,evaluation_train_world_frozen,11,76002,False,35,17,3,0
random,9103,evaluation_train_world_frozen,12,76003,False,35,10,2,0
random,9103,evaluation_train_world_frozen,13,76004,False,35,10,0,0
random,9103,evaluation_train_world_frozen,14,76005,False,35,11,1,0
random,9103,evaluation_train_world_frozen,15,76001,False,35,21,0,0
random,9103,evaluation_train_world_frozen,16,76002,False,35,13,1,0
random,9103,evaluation_train_world_frozen,17,76003,False,35,15,1,0
random,9103,evaluation_train_world_frozen,18,76004,False,35,14,2,0
random,9103,evaluation_train_world_frozen,19,76005,False,35,12,2,0
contextual_policy,9103,evaluation_train_world_frozen,0,76001,False,35,35,0,0
contextual_policy,9103,evaluation_train_world_frozen,1,76002,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,2,76003,False,35,34,1,0
contextual_policy,9103,evaluation_train_world_frozen,3,76004,True,11,2,1,0
contextual_policy,9103,evaluation_train_world_frozen,4,76005,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,5,76001,False,35,35,0,0
contextual_policy,9103,evaluation_train_world_frozen,6,76002,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,7,76003,False,35,34,1,0
contextual_policy,9103,evaluation_train_world_frozen,8,76004,True,11,2,1,0
contextual_policy,9103,evaluation_train_world_frozen,9,76005,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,10,76001,False,35,35,0,0
contextual_policy,9103,evaluation_train_world_frozen,11,76002,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,12,76003,False,35,34,1,0
contextual_policy,9103,evaluation_train_world_frozen,13,76004,True,11,2,1,0
contextual_policy,9103,evaluation_train_world_frozen,14,76005,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,15,76001,False,35,35,0,0
contextual_policy,9103,evaluation_train_world_frozen,16,76002,False,35,34,0,0
contextual_policy,9103,evaluation_train_world_frozen,17,76003,False,35,34,1,0
contextual_policy,9103,evaluation_train_world_frozen,18,76004,True,11,2,1,0
contextual_policy,9103,evaluation_train_world_frozen,19,76005,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,0,76001,False,35,35,0,0
full_aassr,9103,evaluation_train_world_frozen,1,76002,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,2,76003,False,35,34,1,0
full_aassr,9103,evaluation_train_world_frozen,3,76004,True,11,2,1,0
full_aassr,9103,evaluation_train_world_frozen,4,76005,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,5,76001,False,35,35,0,0
full_aassr,9103,evaluation_train_world_frozen,6,76002,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,7,76003,False,35,34,1,0
full_aassr,9103,evaluation_train_world_frozen,8,76004,True,11,2,1,0
full_aassr,9103,evaluation_train_world_frozen,9,76005,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,10,76001,False,35,35,0,0
full_aassr,9103,evaluation_train_world_frozen,11,76002,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,12,76003,False,35,34,1,0
full_aassr,9103,evaluation_train_world_frozen,13,76004,True,11,2,1,0
full_aassr,9103,evaluation_train_world_frozen,14,76005,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,15,76001,False,35,35,0,0
full_aassr,9103,evaluation_train_world_frozen,16,76002,False,35,34,0,0
full_aassr,9103,evaluation_train_world_frozen,17,76003,False,35,34,1,0
full_aassr,9103,evaluation_train_world_frozen,18,76004,True,11,2,1,0
full_aassr,9103,evaluation_train_world_frozen,19,76005,False,35,34,0,0
random,9109,evaluation_train_world_frozen,0,76001,False,35,25,1,0
random,9109,evaluation_train_world_frozen,1,76002,False,35,11,3,0
random,9109,evaluation_train_world_frozen,2,76003,False,35,9,2,0
random,9109,evaluation_train_world_frozen,3,76004,False,35,11,0,0
random,9109,evaluation_train_world_frozen,4,76005,False,35,11,4,0
random,9109,evaluation_train_world_frozen,5,76001,False,35,15,3,0
random,9109,evaluation_train_world_frozen,6,76002,False,35,14,3,0
random,9109,evaluation_train_world_frozen,7,76003,False,35,11,3,0
random,9109,evaluation_train_world_frozen,8,76004,False,35,7,2,0
random,9109,evaluation_train_world_frozen,9,76005,False,35,11,2,0
random,9109,evaluation_train_world_frozen,10,76001,False,35,18,0,0
random,9109,evaluation_train_world_frozen,11,76002,False,35,14,1,0
random,9109,evaluation_train_world_frozen,12,76003,False,35,13,3,0
random,9109,evaluation_train_world_frozen,13,76004,False,35,13,3,0
random,9109,evaluation_train_world_frozen,14,76005,False,35,9,2,0
random,9109,evaluation_train_world_frozen,15,76001,False,35,17,0,0
random,9109,evaluation_train_world_frozen,16,76002,False,35,10,3,0
random,9109,evaluation_train_world_frozen,17,76003,False,35,9,3,0
random,9109,evaluation_train_world_frozen,18,76004,False,35,7,1,0
random,9109,evaluation_train_world_frozen,19,76005,False,35,11,2,0
contextual_policy,9109,evaluation_train_world_frozen,0,76001,False,35,35,0,0
contextual_policy,9109,evaluation_train_world_frozen,1,76002,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,2,76003,False,35,34,1,0
contextual_policy,9109,evaluation_train_world_frozen,3,76004,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,4,76005,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,5,76001,False,35,35,0,0
contextual_policy,9109,evaluation_train_world_frozen,6,76002,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,7,76003,False,35,34,1,0
contextual_policy,9109,evaluation_train_world_frozen,8,76004,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,9,76005,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,10,76001,False,35,35,0,0
contextual_policy,9109,evaluation_train_world_frozen,11,76002,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,12,76003,False,35,34,1,0
contextual_policy,9109,evaluation_train_world_frozen,13,76004,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,14,76005,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,15,76001,False,35,35,0,0
contextual_policy,9109,evaluation_train_world_frozen,16,76002,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,17,76003,False,35,34,1,0
contextual_policy,9109,evaluation_train_world_frozen,18,76004,False,35,34,0,0
contextual_policy,9109,evaluation_train_world_frozen,19,76005,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,0,76001,False,35,35,0,0
full_aassr,9109,evaluation_train_world_frozen,1,76002,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,2,76003,False,35,34,1,0
full_aassr,9109,evaluation_train_world_frozen,3,76004,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,4,76005,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,5,76001,False,35,35,0,0
full_aassr,9109,evaluation_train_world_frozen,6,76002,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,7,76003,False,35,34,1,0
full_aassr,9109,evaluation_train_world_frozen,8,76004,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,9,76005,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,10,76001,False,35,35,0,0
full_aassr,9109,evaluation_train_world_frozen,11,76002,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,12,76003,False,35,34,1,0
full_aassr,9109,evaluation_train_world_frozen,13,76004,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,14,76005,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,15,76001,False,35,35,0,0
full_aassr,9109,evaluation_train_world_frozen,16,76002,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,17,76003,False,35,34,1,0
full_aassr,9109,evaluation_train_world_frozen,18,76004,False,35,34,0,0
full_aassr,9109,evaluation_train_world_frozen,19,76005,False,35,34,0,0
